Customer ID,Gender,Age,Married,Number of Dependents,City,Zip Code,Latitude,Longitude,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Customer Status,Churn Category,Churn Reason
0023-HGHWL,Male,67,No,0,Morgan Hill,95037,37,-122,0,1,None,No,0,No internet service,Yes,Cable,9,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,25,25,0,0,0,25,Churned,Competitor,Competitor made better offer
0023-UYUPN,Female,79,Yes,0,Ahwahnee,93601,37,-120,0,50,None,Yes,31,Yes,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,One Year,No,Bank Withdrawal,25,1306,0,0,1572,2878,Stayed,Not churned,unknown
0023-XUOPT,Female,26,Yes,0,Carnelian Bay,96140,39,-120,1,13,None,Yes,44,Yes,Yes,Fiber Optic,52,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,94,1216,0,0,566,1782,Churned,Other,Don't know
0027-KWYKW,Female,30,Yes,2,Alpaugh,93201,36,-119,1,23,Offer D,Yes,35,Yes,Yes,Fiber Optic,30,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84,1850,0,0,803,2653,Stayed,Not churned,unknown
0030-FNXPP,Female,22,No,0,Keeler,93530,37,-118,0,3,None,Yes,3,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Month-to-Month,No,Credit Card,20,57,0,0,9,67,Joined,Not churned,unknown
0031-PVLZI,Female,34,Yes,0,Korbel,95550,41,-124,0,4,Offer E,Yes,12,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Month-to-Month,No,Credit Card,20,76,0,0,50,126,Churned,Price,Long distance charges
0032-PGELS,Female,37,Yes,1,Palomar Mountain,92060,33,-117,1,1,None,No,0,No internet service,Yes,DSL,19,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,30,30,0,0,0,30,Churned,Attitude,Attitude of service provider
0036-IHMOT,Female,37,Yes,3,Parlier,93648,37,-120,10,55,None,Yes,35,No,Yes,Fiber Optic,57,No,Yes,Yes,Yes,Yes,Yes,Yes,No,One Year,Yes,Bank Withdrawal,104,5657,0,20,1927,7604,Stayed,Not churned,unknown
0040-HALCW,Male,42,Yes,3,Modesto,95358,38,-121,3,54,None,Yes,20,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Two Year,No,Credit Card,20,1091,0,0,1064,2154,Stayed,Not churned,unknown
0042-JVWOJ,Male,64,No,0,Glen Ellen,95442,38,-123,0,26,Offer C,Yes,38,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,One Year,Yes,Bank Withdrawal,20,472,21,0,980,1431,Stayed,Not churned,unknown
0042-RLHYP,Female,47,Yes,3,Eureka,95503,41,-124,5,69,None,Yes,38,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Two Year,No,Bank Withdrawal,20,1397,0,0,2649,4046,Stayed,Not churned,unknown
0048-LUMLS,Male,23,Yes,3,Moss Beach,94038,38,-123,1,37,Offer C,Yes,43,No,Yes,Fiber Optic,51,No,No,No,No,Yes,Yes,Yes,Yes,One Year,No,Credit Card,91,3248,0,0,1591,4839,Stayed,Not churned,unknown
0048-PIHNL,Female,48,Yes,0,Los Angeles,90058,34,-118,5,49,Offer B,Yes,50,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,One Year,No,Bank Withdrawal,20,901,0,0,2429,3330,Stayed,Not churned,unknown
0052-DCKON,Male,28,Yes,0,Los Angeles,90063,34,-118,9,66,None,Yes,44,Yes,Yes,Fiber Optic,41,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,-2,7942,0,0,2889,10831,Stayed,Not churned,unknown
0052-YNYOT,Female,28,No,0,Calexico,92231,33,-115,0,67,None,Yes,23,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,One Year,No,Bank Withdrawal,21,1343,31,0,1549,2862,Stayed,Not churned,unknown
0056-EPFBG,Male,33,Yes,1,Redding,96003,41,-122,4,20,None,No,0,No internet service,Yes,Cable,22,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,39,825,0,0,0,825,Stayed,Not churned,unknown
0057-QBUQH,Female,31,No,3,San Martin,95046,37,-122,0,43,None,Yes,31,Yes,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Two Year,Yes,Bank Withdrawal,25,1070,0,0,1318,2388,Stayed,Not churned,unknown
0058-EVZWM,Female,37,Yes,0,Stockton,95209,38,-121,2,55,Offer B,Yes,5,Yes,Yes,Fiber Optic,9,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90,4960,0,0,279,5239,Stayed,Not churned,unknown
0060-FUALY,Female,60,Yes,0,Los Angeles,90003,34,-118,4,59,Offer B,Yes,16,Yes,Yes,Fiber Optic,14,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95,5598,0,0,967,6565,Stayed,Not churned,unknown
0064-SUDOG,Female,48,Yes,3,Huntington Park,90255,34,-118,3,12,None,Yes,19,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Two Year,No,Bank Withdrawal,20,224,0,0,231,456,Stayed,Not churned,unknown
0064-YIJGF,Male,60,Yes,3,Yermo,92398,35,-117,7,27,Offer C,Yes,25,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76,1929,0,0,682,2611,Stayed,Not churned,unknown
0067-DKWBL,Male,69,No,0,San Diego,92129,33,-117,0,2,None,Yes,44,No,Yes,DSL,27,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49,91,0,0,88,179,Churned,Competitor,Competitor made better offer
0068-FIGTF,Female,20,No,0,Fremont,94539,38,-122,0,27,Offer C,Yes,49,No,Yes,DSL,59,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,78,2079,0,0,1321,3400,Stayed,Not churned,unknown
0071-NDAFP,Male,31,Yes,3,Santa Rosa,95405,38,-123,1,25,None,Yes,24,Yes,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Two Year,No,Credit Card,26,631,44,0,592,1178,Stayed,Not churned,unknown
0074-HDKDG,Male,46,Yes,0,San Jose,95126,37,-122,5,25,None,Yes,6,No,Yes,Cable,19,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,62,1611,45,0,161,1727,Stayed,Not churned,unknown
0076-LVEPS,Male,57,No,1,Tujunga,91042,34,-118,0,29,None,No,0,No internet service,Yes,DSL,21,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,45,1242,12,0,0,1230,Stayed,Not churned,unknown
0078-XZMHT,Male,19,Yes,0,Visalia,93291,36,-119,5,72,None,Yes,32,Yes,Yes,DSL,52,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,85,6316,0,0,2330,8646,Stayed,Not churned,unknown
0080-EMYVY,Female,64,No,0,Lodi,95240,38,-121,0,14,None,Yes,24,No,Yes,Cable,12,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,51,728,0,0,337,1064,Stayed,Not churned,unknown
0080-OROZO,Female,38,No,0,El Portal,95318,38,-120,0,35,Offer C,Yes,36,No,Yes,Fiber Optic,2,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,99,3532,0,0,1275,4807,Stayed,Not churned,unknown
0082-LDZUE,Male,54,No,0,Calistoga,94515,39,-123,0,1,Offer E,Yes,43,No,Yes,DSL,9,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,44,44,0,0,43,87,Joined,Not churned,unknown
0082-OQIQY,Male,50,No,0,Farmington,95230,38,-121,0,29,None,Yes,2,No,Yes,Fiber Optic,17,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,94,2608,0,20,59,2687,Stayed,Not churned,unknown
0083-PIVIK,Male,25,No,0,Tulelake,96134,42,-121,0,64,None,Yes,5,Yes,Yes,DSL,69,Yes,Yes,Yes,Yes,Yes,No,No,No,One Year,No,Bank Withdrawal,81,5568,0,40,351,5959,Stayed,Not churned,unknown
0089-IIQKO,Female,35,Yes,3,Coleville,96107,38,-119,1,39,None,Yes,24,Yes,Yes,Fiber Optic,53,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,100,3767,0,0,951,4718,Stayed,Not churned,unknown
0093-EXYQL,Female,72,No,0,Ojai,93023,35,-119,0,40,None,Yes,44,No,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,92,3674,0,0,1766,5439,Stayed,Not churned,unknown
0093-XWZFY,Male,51,No,0,Desert Hot Springs,92241,34,-116,0,40,None,Yes,38,Yes,Yes,Fiber Optic,15,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,104,4037,0,0,1508,5544,Churned,Competitor,Competitor had better devices
0094-OIFMO,Female,78,No,1,North Hollywood,91605,34,-118,0,11,Offer D,Yes,12,No,Yes,Fiber Optic,29,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95,1120,0,120,127,1368,Churned,Dissatisfaction,Product dissatisfaction
0096-BXERS,Female,30,Yes,0,Inverness,94937,38,-123,10,6,Offer E,Yes,43,Yes,Yes,Cable,85,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,50,315,0,0,256,571,Stayed,Not churned,unknown
0096-FCPUF,Male,58,No,0,Santa Rosa,95404,39,-123,0,30,None,Yes,3,Yes,Yes,DSL,15,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,64,1888,0,0,79,1968,Stayed,Not churned,unknown
0098-BOWSO,Male,26,No,0,San Jose,95131,37,-122,0,27,None,Yes,21,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Month-to-Month,Yes,Bank Withdrawal,19,530,0,0,558,1088,Stayed,Not churned,unknown
0100-DUVFC,Male,66,Yes,0,Wilmington,90744,34,-118,3,70,None,Yes,39,Yes,Yes,Fiber Optic,28,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,105,7309,6,0,2764,10067,Stayed,Not churned,unknown
0103-CSITQ,Female,20,Yes,0,Modesto,95357,38,-121,10,57,Offer B,Yes,8,Yes,Yes,Fiber Optic,73,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,109,6253,0,0,457,6709,Stayed,Not churned,unknown
0104-PPXDV,Male,61,Yes,0,San Diego,92113,33,-117,10,58,None,Yes,18,No,Yes,DSL,18,No,No,Yes,No,No,No,No,Yes,One Year,No,Credit Card,50,2879,10,0,1065,3934,Stayed,Not churned,unknown
0106-GHRQR,Male,24,No,0,Rancho Palos Verdes,90275,34,-118,0,16,None,Yes,26,Yes,Yes,DSL,48,No,Yes,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,71,1212,0,0,411,1623,Stayed,Not churned,unknown
0106-UGRDO,Female,55,Yes,0,Kenwood,95452,38,-123,3,69,Offer A,Yes,39,Yes,Yes,Fiber Optic,27,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,116,8183,0,0,2658,10841,Stayed,Not churned,unknown
0107-WESLM,Male,32,No,0,West Point,95255,38,-120,0,1,Offer E,Yes,32,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Month-to-Month,Yes,Bank Withdrawal,20,20,0,0,32,52,Churned,Attitude,Attitude of support person
0107-YHINA,Male,59,No,0,Los Angeles,90062,34,-118,0,1,None,Yes,41,Yes,Yes,Fiber Optic,25,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,100,100,0,0,41,140,Churned,Competitor,Competitor had better devices
0111-KLBQG,Male,71,Yes,1,Morongo Valley,92256,34,-117,9,32,Offer C,Yes,32,No,Yes,Fiber Optic,23,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Mailed Check,94,2861,0,0,1020,3881,Stayed,Not churned,unknown
0112-QAWRZ,Male,49,Yes,2,Palo Verde,92266,33,-115,8,16,Offer D,Yes,49,Yes,Yes,Fiber Optic,12,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,91,1442,0,0,779,2222,Stayed,Not churned,unknown
0112-QWPNC,Male,61,Yes,0,Valyermo,93563,34,-118,1,49,Offer B,Yes,40,Yes,Yes,Cable,10,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,84,4059,0,0,1938,5997,Churned,Competitor,Competitor offered higher download speeds
0114-IGABW,Female,40,Yes,0,Cambria,93428,36,-121,2,71,Offer A,No,0,No internet service,Yes,Cable,29,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,58,4146,0,0,0,4146,Stayed,Not churned,unknown
0114-PEGZZ,Female,39,No,0,Round Mountain,96084,41,-122,0,33,None,Yes,50,Yes,Yes,Fiber Optic,12,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,108,3646,0,0,1640,5285,Stayed,Not churned,unknown
0114-RSRRW,Female,21,Yes,0,Klamath,95548,42,-124,9,10,Offer D,Yes,50,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Month-to-Month,Yes,Bank Withdrawal,20,188,0,0,496,684,Stayed,Not churned,unknown
0115-TFERT,Male,24,Yes,0,Fresno,93650,37,-120,1,21,None,Yes,36,Yes,Yes,Fiber Optic,59,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,111,2317,0,120,761,3199,Churned,Attitude,Attitude of service provider
0117-LFRMW,Male,52,Yes,1,Angwin,94508,39,-122,1,37,None,No,0,No internet service,Yes,DSL,23,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,40,1449,0,0,0,1449,Churned,Competitor,Competitor offered more data
0118-JPNOY,Female,71,No,0,Le Grand,95333,37,-120,0,26,None,Yes,34,No,Yes,Fiber Optic,7,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,86,2194,0,0,877,3071,Stayed,Not churned,unknown
0121-SNYRK,Male,45,No,0,Redway,95560,40,-124,0,50,Offer B,No,0,No internet service,Yes,DSL,7,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,35,1749,0,0,0,1749,Stayed,Not churned,unknown
0122-OAHPZ,Female,29,No,0,San Diego,92122,33,-117,0,7,None,Yes,29,Yes,Yes,Fiber Optic,26,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,74,511,13,0,200,699,Churned,Competitor,Competitor made better offer
0123-CRBRT,Female,62,Yes,0,Monterey Park,91755,34,-118,1,61,Offer B,Yes,47,Yes,Yes,DSL,28,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,88,5527,0,0,2879,8405,Stayed,Not churned,unknown
0125-LZQXK,Male,42,No,0,Big Oak Flat,95305,38,-120,0,15,Offer D,Yes,46,No,Yes,Fiber Optic,12,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101,1554,0,0,689,2243,Churned,Attitude,Attitude of service provider
0128-MKWSG,Female,51,No,2,Stevenson Ranch,91381,34,-119,0,26,None,No,0,No internet service,Yes,DSL,19,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,46,1147,0,0,0,1147,Stayed,Not churned,unknown
0129-KPTWJ,Male,39,Yes,0,North Highlands,95660,39,-121,9,72,None,Yes,33,No,Yes,Fiber Optic,23,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95,6747,0,0,2392,9139,Stayed,Not churned,unknown
0129-QMPDR,Male,64,Yes,0,La Puente,91746,34,-118,1,44,None,Yes,27,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,One Year,Yes,Bank Withdrawal,20,865,0,0,1206,2071,Stayed,Not churned,unknown
0130-SXOUN,Male,55,No,0,Glenhaven,95443,39,-123,0,66,Offer A,Yes,49,Yes,Yes,Fiber Optic,8,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,No,Credit Card,89,5977,36,40,3219,9200,Stayed,Not churned,unknown
0133-BMFZO,Female,40,No,0,Alhambra,91803,34,-118,0,2,None,Yes,37,No,Yes,Fiber Optic,16,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,86,182,0,0,74,255,Churned,Competitor,Competitor offered higher download speeds
0134-XWXCE,Female,76,No,0,Santa Monica,90403,34,-118,0,44,None,Yes,8,No,Yes,DSL,17,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,75,3268,18,0,340,3590,Stayed,Not churned,unknown
0135-NMXAP,Female,57,No,0,Lodi,95240,38,-121,0,12,Offer D,Yes,14,Yes,Yes,Fiber Optic,6,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,90,1052,0,0,173,1225,Churned,Attitude,Attitude of support person
0136-IFMYD,Male,71,Yes,0,Los Angeles,90001,34,-118,1,69,None,Yes,18,Yes,Yes,Fiber Optic,17,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,110,7634,0,0,1270,8905,Stayed,Not churned,unknown
0137-OCGAB,Female,25,No,0,Fairfield,94533,38,-122,0,1,Offer E,Yes,1,Yes,Yes,Fiber Optic,69,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,80,80,0,0,1,81,Churned,Price,Lack of affordable download/upload speed
0137-UDEUO,Female,24,No,0,Stockton,95204,38,-121,0,3,Offer E,Yes,26,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Month-to-Month,No,Credit Card,20,64,0,0,77,141,Churned,Price,Long distance charges
0139-IVFJG,Female,19,Yes,0,Temecula,92592,34,-117,10,2,None,Yes,5,No,Yes,Fiber Optic,53,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,90,190,0,0,9,200,Joined,Not churned,unknown
0141-YEAYS,Female,77,No,0,Fallbrook,92028,33,-117,0,27,None,Yes,3,Yes,Yes,Fiber Optic,4,No,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,86,2401,0,0,80,2481,Stayed,Not churned,unknown
0142-GVYSN,Male,57,No,0,Randsburg,93554,35,-118,0,26,Offer C,Yes,13,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Month-to-Month,Yes,Bank Withdrawal,20,511,0,0,347,858,Stayed,Not churned,unknown
0147-ESWWR,Female,73,Yes,0,Atascadero,93422,35,-121,9,39,None,Yes,20,Yes,Yes,Fiber Optic,21,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,101,3949,0,0,786,4735,Stayed,Not churned,unknown
0148-DCDOS,Male,41,No,0,Planada,95365,37,-120,0,25,None,Yes,35,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,95,2362,0,0,872,3234,Churned,Competitor,Competitor had better devices
0151-ONTOV,Female,43,No,0,Moorpark,93021,34,-119,0,1,Offer E,Yes,40,No,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,71,71,0,0,40,111,Churned,Competitor,Competitor had better devices
0156-FVPTA,Male,48,Yes,0,Solvang,93463,35,-120,1,22,Offer D,Yes,27,No,Yes,DSL,21,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,54,1153,0,0,599,1752,Churned,Attitude,Attitude of service provider
0164-APGRB,Female,56,No,0,Calistoga,94515,39,-123,0,72,Offer A,Yes,48,Yes,Yes,Fiber Optic,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,115,8497,0,0,3483,11979,Stayed,Not churned,unknown
0164-XAIRP,Female,51,No,0,La Mirada,90638,34,-118,0,24,None,Yes,11,No,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Two Year,Yes,Bank Withdrawal,20,470,0,0,255,726,Stayed,Not churned,unknown
0168-XZKBB,Female,34,Yes,0,Boron,93516,35,-118,8,19,None,Yes,8,Yes,Yes,Fiber Optic,16,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,87,1564,0,0,149,1713,Stayed,Not churned,unknown
0174-QRVVY,Male,21,Yes,2,San Marcos,92078,33,-117,2,71,None,Yes,9,Yes,No,No internet service,0, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service, No internet service,Two Year,No,Credit Card,25,1848,0,0,653,2501,Stayed,Not churned,unknown
